nohup: ignoring input
/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:166: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler  = GradScaler(enabled=use_amp)

=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 200
  Batch size : 4
  LR         : 0.0001

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 1868
  Val   batches : 401

  Initializing IIDM model ...
  Trainable params : 77.42M

  Starting training from epoch 1 ...

/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:202: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp):
  Ep 005 | step 0400/1868 | loss=1.2411 | diff=0.6884 | kd=0.7875 | recon=0.4740 | t=32s
  Ep 005 | step 0450/1868 | loss=1.1821 | diff=0.6800 | kd=0.7188 | recon=0.4302 | t=36s
  Ep 005 | step 0500/1868 | loss=1.1449 | diff=0.6851 | kd=0.6751 | recon=0.3924 | t=40s
  Ep 005 | step 0550/1868 | loss=1.2288 | diff=0.6813 | kd=1.0643 | recon=0.4410 | t=43s
  Ep 005 | step 0600/1868 | loss=1.1718 | diff=0.6815 | kd=0.8047 | recon=0.4099 | t=47s
  Ep 005 | step 0650/1868 | loss=1.1570 | diff=0.6816 | kd=0.8681 | recon=0.3885 | t=51s
  Ep 005 | step 0700/1868 | loss=1.1225 | diff=0.6751 | kd=0.5541 | recon=0.3919 | t=55s
  Ep 005 | step 0750/1868 | loss=1.1803 | diff=0.6799 | kd=0.6849 | recon=0.4320 | t=59s
  Ep 005 | step 0800/1868 | loss=1.1993 | diff=0.6777 | kd=0.5662 | recon=0.4650 | t=63s
  Ep 005 | step 0850/1868 | loss=1.1383 | diff=0.6773 | kd=0.8382 | recon=0.3771 | t=67s
  Ep 005 | step 0900/1868 | loss=1.1701 | diff=0.6868 | kd=0.9392 | recon=0.3893 | t=71s
  Ep 005 | step 0950/1868 | loss=1.1122 | diff=0.6797 | kd=0.8268 | recon=0.3498 | t=75s
  Ep 005 | step 1000/1868 | loss=1.1387 | diff=0.6812 | kd=0.6499 | recon=0.3925 | t=78s
  Ep 005 | step 1050/1868 | loss=1.2393 | diff=0.6753 | kd=0.9364 | recon=0.4704 | t=82s
